tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,35865,7598,8822720,145809,2017-08-01 16:23:56+00:00
892177421306343426,30938,5627,8822079,145808,2017-08-01 00:17:27+00:00
891815181378084864,23282,3724,8822079,145808,2017-07-31 00:18:03+00:00
891689557279858688,39134,7775,8822079,145808,2017-07-30 15:58:51+00:00
891327558926688256,37384,8375,8822079,145808,2017-07-29 16:00:24+00:00
891087950875897856,18832,2808,8822079,145808,2017-07-29 00:08:17+00:00
890971913173991426,10941,1828,8822079,145808,2017-07-28 16:27:12+00:00
890729181411237888,60418,16986,8822079,145808,2017-07-28 00:22:40+00:00
890609185150312448,25922,3865,8822079,145808,2017-07-27 16:25:51+00:00
890240255349198849,29605,6613,8822079,145808,2017-07-26 15:59:51+00:00
890006608113172480,28510,6598,8822079,145808,2017-07-26 00:31:25+00:00
889880896479866881,25933,4485,8822079,145808,2017-07-25 16:11:53+00:00
889665388333682689,44631,8996,8822079,145808,2017-07-25 01:55:32+00:00
889638837579907072,25115,4037,8822079,145808,2017-07-25 00:10:02+00:00
889531135344209921,14079,2032,8822079,145808,2017-07-24 17:02:04+00:00
889278841981685760,23393,4804,8822079,145808,2017-07-24 00:19:32+00:00
888917238123831296,27037,4047,8822079,145808,2017-07-23 00:22:39+00:00
888804989199671297,23738,3814,8822079,145808,2017-07-22 16:56:37+00:00
888554962724278272,18332,3123,8822079,145808,2017-07-22 00:23:06+00:00
888078434458587136,20241,3129,8822079,145808,2017-07-20 16:49:33+00:00
887705289381826560,28129,4867,8822079,145808,2017-07-19 16:06:48+00:00
887517139158093824,43102,10611,8822079,145808,2017-07-19 03:39:09+00:00
887473957103951883,63856,16201,8822079,145808,2017-07-19 00:47:34+00:00
887343217045368832,31291,9443,8822079,145808,2017-07-18 16:08:03+00:00
887101392804085760,28463,5375,8822079,145808,2017-07-18 00:07:08+00:00
886983233522544640,32410,6899,8822079,145808,2017-07-17 16:17:36+00:00
886736880519319552,11124,2887,8822079,145808,2017-07-16 23:58:41+00:00
886680336477933568,20894,4029,8822079,145808,2017-07-16 20:14:00+00:00
886366144734445568,19634,2854,8822079,145808,2017-07-15 23:25:31+00:00
886267009285017600,111,4,8822079,145808,2017-07-15 16:51:35+00:00
886258384151887873,26009,5694,8822079,145808,2017-07-15 16:17:19+00:00
886054160059072513,0,100,8822079,145808,2017-07-15 02:45:48+00:00
885984800019947520,30293,6056,8822079,145808,2017-07-14 22:10:11+00:00
885528943205470208,33402,5761,8822079,145808,2017-07-13 15:58:47+00:00
885518971528720385,19033,3369,8822079,145808,2017-07-13 15:19:09+00:00
885311592912609280,0,16676,8822079,145808,2017-07-13 01:35:06+00:00
885167619883638784,20333,3934,8822079,145808,2017-07-12 16:03:00+00:00
884925521741709313,71577,16266,8822079,145808,2017-07-12 00:01:00+00:00
884876753390489601,25854,5027,8822079,145808,2017-07-11 20:47:12+00:00
884562892145688576,22590,4240,8822079,145808,2017-07-11 00:00:02+00:00
884441805382717440,25188,5131,8822079,145808,2017-07-10 15:58:53+00:00
884247878851493888,67408,18299,8822079,145808,2017-07-10 03:08:17+00:00
884162670584377345,18962,2697,8822079,145808,2017-07-09 21:29:42+00:00
883838122936631299,20306,3094,8822079,145808,2017-07-09 00:00:04+00:00
883482846933004288,42564,8900,8822079,145808,2017-07-08 00:28:19+00:00
883360690899218434,21072,3331,8822720,145809,2017-07-07 16:22:55+00:00
883117836046086144,34498,5992,8822079,145808,2017-07-07 00:17:54+00:00
882992080364220416,22212,3504,8822079,145808,2017-07-06 15:58:11+00:00
882762694511734784,26268,4401,8822079,145808,2017-07-06 00:46:41+00:00
882627270321602560,26034,5473,8822079,145808,2017-07-05 15:48:34+00:00
882268110199369728,41662,10437,8822079,145808,2017-07-04 16:01:23+00:00
882045870035918850,27263,4395,8822079,145808,2017-07-04 01:18:17+00:00
881906580714921986,22631,3067,8822079,145808,2017-07-03 16:04:48+00:00
881666595344535552,47122,9622,8822079,145808,2017-07-03 00:11:11+00:00
881633300179243008,116,7,8822079,145808,2017-07-02 21:58:53+00:00
881536004380872706,46003,14429,8822079,145808,2017-07-02 15:32:16+00:00
881268444196462592,21621,4764,8822079,145808,2017-07-01 21:49:04+00:00
880935762899988482,15908,2523,8822079,145808,2017-06-30 23:47:07+00:00
880872448815771648,19796,3451,8822079,145808,2017-06-30 19:35:32+00:00
880465832366813184,26470,5601,8822079,145808,2017-06-29 16:39:47+00:00
880221127280381952,25073,3761,8822079,145808,2017-06-29 00:27:25+00:00
880095782870896641,25682,3917,8822079,145808,2017-06-28 16:09:20+00:00
879862464715927552,20793,3146,8822079,145808,2017-06-28 00:42:13+00:00
879674319642796034,292,10,8822079,145808,2017-06-27 12:14:36+00:00
879492040517615616,21854,2880,8822079,145808,2017-06-27 00:10:17+00:00
879415818425184262,98403,40156,8822079,145808,2017-06-26 19:07:24+00:00
879376492567855104,15645,2825,8822079,145808,2017-06-26 16:31:08+00:00
879130579576475649,0,6146,8822079,145808,2017-06-26 00:13:58+00:00
879050749262655488,20973,4249,8822079,145808,2017-06-25 18:56:45+00:00
879008229531029506,17698,2423,8822079,145808,2017-06-25 16:07:47+00:00
878776093423087618,18037,3696,8822079,145808,2017-06-25 00:45:22+00:00
878604707211726852,28028,6395,8822079,145808,2017-06-24 13:24:20+00:00
878404777348136964,0,1163,8822079,145808,2017-06-24 00:09:53+00:00
878316110768087041,0,6003,8822079,145808,2017-06-23 18:17:33+00:00
878281511006478336,7199,1163,8822079,145808,2017-06-23 16:00:04+00:00
878057613040115712,39191,6146,8822079,145808,2017-06-23 01:10:23+00:00
877736472329191424,73770,17129,8822079,145808,2017-06-22 03:54:17+00:00
877611172832227328,0,72,8822079,145808,2017-06-21 19:36:23+00:00
877556246731214848,21137,3440,8822079,145808,2017-06-21 15:58:08+00:00
877316821321428993,25534,4703,8822079,145808,2017-06-21 00:06:44+00:00
877201837425926144,25227,5042,8822079,145808,2017-06-20 16:29:50+00:00
876838120628539392,19276,3023,8822079,145808,2017-06-19 16:24:33+00:00
876537666061221889,22088,4248,8822080,145808,2017-06-18 20:30:39+00:00
876484053909872640,17509,2142,8822080,145808,2017-06-18 16:57:37+00:00
876120275196170240,26085,4225,8822080,145808,2017-06-17 16:52:05+00:00
875747767867523072,23451,3879,8822080,145808,2017-06-16 16:11:53+00:00
875144289856114688,20455,4446,8822080,145808,2017-06-15 00:13:52+00:00
875097192612077568,25594,5502,8822081,145808,2017-06-14 21:06:43+00:00
875021211251597312,23787,4275,8822081,145808,2017-06-14 16:04:48+00:00
874680097055178752,25954,4204,8822081,145808,2017-06-13 17:29:20+00:00
874434818259525634,0,13181,8822081,145808,2017-06-13 01:14:41+00:00
874296783580663808,24310,3739,8822081,145808,2017-06-12 16:06:11+00:00
874057562936811520,21225,3618,8822081,145808,2017-06-12 00:15:36+00:00
874012996292530176,31979,9289,8822081,145808,2017-06-11 21:18:31+00:00
873580283840344065,22629,3580,8822081,145808,2017-06-10 16:39:04+00:00
873337748698140672,0,1443,8822081,145808,2017-06-10 00:35:19+00:00
873213775632977920,6688,1443,8822081,145808,2017-06-09 16:22:42+00:00
872967104147763200,25468,4925,8822081,145808,2017-06-09 00:02:31+00:00
872820683541237760,13780,3380,8822081,145808,2017-06-08 14:20:41+00:00
872620804844003328,19395,3320,8822081,145808,2017-06-08 01:06:27+00:00
872486979161796608,38138,8242,8822081,145808,2017-06-07 16:14:40+00:00
872122724285648897,32069,7378,8822081,145808,2017-06-06 16:07:15+00:00
871879754684805121,35165,9994,8822081,145808,2017-06-06 00:01:46+00:00
871762521631449091,18931,3182,8822081,145808,2017-06-05 16:15:56+00:00
871515927908634625,18912,3178,8822081,145808,2017-06-04 23:56:03+00:00
871166179821445120,0,5220,8822081,145808,2017-06-04 00:46:17+00:00
871102520638267392,19612,5025,8822081,145808,2017-06-03 20:33:19+00:00
